GenBank Nucleotide Accession	GenBank Protein Accession
BC028060	AAH28060
BC025370	
BC015328	-
BC023631	Q6ZMW2; BAG63751; BAD18613; NP_001001662; EAW92667; NP_001333920; XP_011516617; XP_011516620; NP_001333922; ; EAW92668; AAI37074; XP_011516622; XP_024303198; XP_024303199; NP_001333924; XP_016869832
BC007113	-
BC033112	AAH33112
BI768721	-
BC013392	-
BC015963	EAW83512; EAW83513; EAW83514; EAW83515; AAH05338; ADO22184; P47755; NP_006127; ; BAD96724; BAG57661; AAP35381; AAC60382; BAG56912; AAA88848; BAD96709; BAH14286; EAL24358; BAG37333; AAC00534
BG772667	-
BG475827	-
BC035337	-
BC035730	-
BC001560	AAC26103; XP_016875545; XP_016875547; NP_001185845; BAA86544; BAB39690; CAB77544; XP_016875550; XP_016875556; XP_016875559; XP_006719222; XP_016875552; XP_016875554; XP_016875561; XP_024305006; XP_016875562; XP_016875564; XP_016875567; XP_016875546; XP_016875551; XP_016875553; XP_024305003; NP_001185844; ; EAW96560; EAW96561; Q86W92; BAG57559; XP_016875548; XP_016875560; XP_024305000; XP_024305004; XP_024305005; EAW96558; AAH22873; AAH46159; XP_016875555; XP_016875565; NP_003613; EAW96559; EAW96562; AAH50281; XP_016875557; XP_016875558; XP_016875563; XP_024305001; XP_024305002; NP_803193
BC014937	AAH14937
BC030782	AAH30782
BC028359	; EAW82673; Q49A33
BC040321	AAH40321
BC020191	EAW77252; EAW77253; NP_001309879; AAH53647; EAW77249; EAW77250; EAW77254; XP_005254787; ; NP_001309878; EAW77251; EAW77255; BAG53851; NP_001273420; Q7Z6J6; BAC03480; NP_001273419; BAF82702; NP_001309880; NP_116281
BC026260	EAX09717; BAA23666; XP_005261105; BAG60239; AAI37346; BAA12303; XP_005261109; XP_005261112; XP_011528042; NP_001001894; NP_001307632; NP_001340867; AAT28185; NP_001340865; EAX09719; CAI56759; BAA12302; XP_016883948; NP_001340866; EAX09721; CAA05057; BAG61811; BAA12301; XP_005261107; XP_016883947; XP_016883954; NP_003307; AAH92466; BAA11769; NP_001307633; ; EAX09716; EAX09718; XP_005261111; XP_005261113; XP_011528041; XP_016883949; NP_001317612; EAX09720; EAX09722; EAX09723; P53804; BAF84681; XP_005261106; XP_016883950; XP_016883951; NP_001317610; NP_001317611
BC041610	-
BC017563	-
BC033224	CAB55930; Q9UFV3; 
BC025999	-
BC024732	
BC020836	EAW82674; AAH52600; AAI04030; BAC11034; AAI04029; AAI54407; NP_001276860; CAH56238; AAI04028; ; XP_016863468; Q3SXZ3; XP_016863469; AAI04027; NP_001034216; NP_001276859
BC014660	; EAW77668; BAC86630; AAH19655; BAB14776; XP_016878070; NP_079074; CAJ42766; Q96L94; AAH30225; EAW77667; XP_005254734; AAK98767
BC035105	EAW89482; BAA90890; XP_006722063; ; XP_006722059; NP_001382439; NP_001382440; XP_011523390; EAW89480; EAW89483; EAW89485; XP_024306616; CCQ43608; EAW89481; Q9HCJ0; BAB71179; CAD39090; AAH45631; XP_016880395; XP_016880396; NP_001382441; NP_061869; EAW89484; BAB13408; NP_001382438; XP_006722060; NP_001136112; NP_001382437
AL603301	-
BC035176	
AF289576	AAL55760
BC026005	EAW78474; EAW78476; AAQ88733; XP_024309484; EAW78471; BAB15639; AAH12204; ; EAW78477; BAG54580; AAH39297; NP_001128567; EAW78470; Q53EP0; BAC11480; NP_073600; EAW78473; BAD97319; AAH33635; BAG37083; CAB75672; XP_016862551; EAW78472; EAW78475; BAC53727; XP_024309485; AAN65261; AAQ88513; XP_016862552; XP_016862553
BC038553	-
BC025336	
BC031615	-
BC040258	Q96NL6; XP_016863206; NP_001287826; AAH64428; AAI21058; AAI28052; AAI21059; NP_001287827; NP_653244; XP_016863208; XP_016863210; BAB70876; XP_016863205; XP_016863207; EAX05168; XP_016863209; ; EAX05167; EAX05169
BC030552	; BAC03745
BC025982	-
BC035612	-
AF289600	AAL55784
BC013872	
BC031035	-
BC032342	; AAC51355; XP_016881705; AAC99761; Q8NHJ6; XP_016881704; NP_001381862; NP_001381868; BAF84771; NP_001265358; NP_001265359; NP_001381865; ACK56073; NP_001381867; EAW72272; CAG46845; EAW72270; AAB68665; NP_001265355; NP_001381864; NP_001381866; AAG02024; EAW72271; AAL36992; NP_001265357; NP_001381863; AAB87666; AAH26309; NP_001265356
BC030136	-
BC026294	-
BC022883	CAH56399; XP_005252627; XP_005252628; XP_011517937; XP_024303913; NP_001310529; EAW86020; BAG65483; AGE81989; XP_024303906; XP_024303908; XP_024303914; XP_024303915; AAC64695; CAH56147; XP_011517936; XP_024303916; BAG63466; XP_024303910; XP_024303911; NP_003165; ; AAH92440; XP_024303909; XP_024303912; NP_001310528; NP_068506; BAG65549; AAC64696; AAD14682; XP_005252630; XP_024303917; CCO13826; EAW86018; EAW86019; O95425; XP_024303907
BC034565	
BM469250	-
BC015677	-
BC018312	-
BC039454	-
BC019347	AIY60619; AIY60622; AIY60627; AIY60633; XP_005272073; XP_011541788; NP_001035548; NP_057526; ; ALK82303; QBA86131; AAF07395; AIY60626; AIY60628; XP_011541782; XP_016865070; NP_001336173; Q9NZ08; AAQ88953; AIY60616; AIY60624; AIY60630; AIY60631; AQT03317; EAW96078; AAF34664; AAK37777; AGR86648; AIY60614; AIY60617; AIY60621; XP_011541783; XP_011541786; AZZ69200; EAW96077; EAW96079; AAH30775; AGR86647; AIY60618; XP_024301881; AGR86649; AGR86650; AIY60613; AIY60620; AIY60623; AIY60625; XP_005272072; XP_011541787; AUN35149; AAF20384; BAD96593; AAK37778; AIY60612; AIY60629; XP_016865072; NP_001185470; BAA25451; BAF84325; AIY60615; AIY60632
BC015443	-
BC040855	
BC017275	-
BC036546	
BC035124	AAH35124
BC026295	BAA91126; AAP86638; AAH19087; EAW81235; AAO15528; AAP86633; NP_060261; AAD51374; Q9UPI3; BAB55381; BAH12471; ; NP_001182212
BC022569	
AF130084	AAG35510
BC037935	-
BC035958	-
BC020926	BAG61215; EAW92801; Q8IWK6; AAR11374; AAH35645; XP_005248194; AAQ88673; NP_660333; BAG53149; AAO27355; XP_011512113; 
BC008384	; AAH08691; CAG38758; ACA06048; BAF85600; NP_689937; ACA06051; BAG35419; ACA06049; EAW86223; EAW86224; AAI07899; NP_036557; ACA06050; AAH05993; CAG46639; EAW86222; Q15404; AAH15644; XP_005252609
BC015590	
BC037945	-
BC012936	-
BC031076	AAY24077; AAH24280; CAA56105; EAW55621; Q99952; EAW55620; AAH41562; XP_016859287; BAG64758; NP_055184; EAW55617; EAW55618; AAH52800; XP_006712480; XP_024308557; EAW55619; BAG60207; ; XP_006712479; NP_001135842
BC006461	-
BC012859	; XP_011517517; NP_001229434; NP_001338501; BAG58560; AAH53584; XP_011517516; XP_011517521; XP_011517523; XP_016870822; NP_001229435; NP_004284; BAH14359; XP_016870829; EAW62528; BAG53485; XP_005252374; XP_011517520; XP_011517522; EAW62529; EAW62530; Q9Y2T3; XP_011517519; NP_001338502; BAA86572; BAG62147; XP_011517524; XP_011517525; NP_001229436; XP_011517518; XP_016870827; XP_024303488; AAF13301; AAD25978; XP_011517515; XP_016870824; NP_001338500
BC021819	AAH21819
BC035186	-
BC019020	-
BU845700	-
AL707919	-
BC028196	BAH16624; BAB55057; AAI26980; XP_005262703; XP_011511972; XP_005262706; XP_011511967; ; CAF86855; Q86TI0; AAH14529; AAH53648; XP_011511961; XP_011511962; BAG51876; BAH12175; AAH50321; XP_016863408; XP_016863410; NP_001240842; BAA83060; XP_016863409; NP_001240844; NP_055988; BAG64594; XP_005262704; XP_006714064; XP_011511970; XP_016863411; NP_001240841; XP_011511968; NP_001240843; BAC11312; XP_011511964; XP_011511965; XP_011511966; XP_016863407
BC038707	-
BC035739	AAI26384; XP_016858085; NP_116174; XP_016858087; NP_001310503; Q5VU57; BAB55053; BAG58944; ; EAX06847; BAG52938; XP_011540612; XP_024306167; NP_001310502; BAG57648; XP_016858086; BAG57812; XP_011540610; XP_016858084; NP_001310504
BC031219	AAH31219
BC037796	-
BC012429	
BC028913	-
AW450527	-
BC014344	
BC035806	EAX05709; NP_001423; BAG37463; ; AAI36406; O14944; AAI36405; CAG46685; BAA22146
BC009884	-
BC035982	AAI13659; NP_001308307; ABY87551; O00443; BAG57666; BAG61438; CAA73797; NP_001308309; ; BAG65126; NP_002636; AGC09601; CAB69383; XP_016873413; NP_001373799; EAW68447
BI868368	-
BC029374	AAA52487; ; EAX04621; XP_005262879; XP_016863375; NP_000119; AAY40901; XP_005262878; NP_001341733; QBB21154; XP_016863374; XP_006714200; XP_016863373; AAC24506; AAN85554; BAA20295; P03951; XP_005262880; EAX04619; EAX04620; AAI19015; AAI22864
BC006001	AAH06001
BC016020	-
BC015861	-
BC020638	-
BC006995	AAH06995
BF106979	-
BC019078	EAW84176; CAB55958; AAI05990; Q63ZY3; NP_001366486; NP_056308; EAW84177; AAH98286; NP_001366477; NP_001366478; NP_001366490; NP_001366482; EAW84175; BAA96042; BAB14531; AAT57879; AAH98312; CAG33669; NP_001366479; NP_001366485; NP_001366489; NP_001366492; BAA92081; NP_001366480; NP_001366483; NP_001366488; EAW84178; BAA90882; NP_001129663; NP_001366487; NP_001366491; ; BAG06864; AAH82762; AAH98105; NP_001316380; NP_001366481; NP_001366484
BC020900	-
BC017122	
BC016022	
BC028185	-
BC039463	EAW77795; EAW77797; BAB14087; AAH39292; NP_001309400; NP_001309402; EAW77794; EAW77796; AAH48964; NP_001271276; NP_001271277; NP_001026885; NP_001309401; ; CAB63711; NP_001309404; BAF85167; AAK27307; AAH31041; NP_073621; Q86VS3; BAG65156; NP_001271278; NP_001309399; CCQ43694; NP_001309403
BC024235	EAW88264; ; Q6JVE9; AAQ81973; AAI32715; BAC86743; NP_848564; BAC03496; EAW88265; AAI30466; ADO22172; XP_016869761; NP_001332863
BC031693	-
BC031680	A6NCL1; ; NP_001140158
BC018025	; EAW59919; BAB33334; BAG62075; NP_001269667; AAK56865; AAG53406; NP_110385; AAC12953; EAW59917; AAK56864; BAC04091; EAW59918; NP_001269668; EAW59916; BAG59036; BAG59156; AAI18915; Q969R2; BAG57369; NP_001269669; NP_001269670; NP_001269671; BAD18525
AW451984	
BC020775	-
BC017231	AAH17231
BC030097	EAW54295; XP_005270013; NP_060457; BAG57521; XP_005270014; EAW54290; AAT44401; XP_005270010; ; EAW54291; EAW54294; BAA96061; AAL67520; XP_011538244; NP_001317032; EAW54292; EAW54293; Q8WXA3; AAL04164; NP_001265154; XP_005270012; NP_001035882; BAG54424; AAH41092
BQ671034	-
AW197329	-
BC031335	EAW77965; BAG63256; NP_001164376; ; B4DX44; EAW77963; NP_001281184
BC014929	; BAC16236; EAW96487; AGV38566; NP_001248343; NP_008871; NP_694534; BAG53325; BAH13079; AAH35227; CAG32994; AGV38565; XP_016875381; XP_016875383; XP_016875392; XP_024304918; EAW96486; BAC16234; AAH60773; XP_011519135; XP_016875387; XP_024304920; XP_024304926; EAW96490; AAH47665; XP_011519144; XP_016875380; XP_016875385; XP_024304932; NP_821078; EAW96488; AAH29220; XP_011519134; XP_011519140; XP_016875386; NP_001317714; EAW96491; P35711; BAC16233; XP_011519139; XP_016875378; XP_016875384; XP_016875391; XP_024304933; NP_001248344; BAC16235; CBH19840; EAW96489; BAC05353; XP_016875390; XP_024304919; XP_024304921; XP_024304925; XP_024304928; EAW96492; BAB85048; BAD97256; BAH14086; AAB49537; CAA46613; XP_011519136; XP_011519137; XP_016875377; XP_016875379; XP_016875382; XP_016875388; XP_016875389; XP_024304922; XP_024304923; XP_024304927; XP_024304929; XP_024304931
BC030257	-
BC031011	-
BG026194	-
BG577290	-
BG718299	-
BC035066	
AF318336	AAL55843
BC030550	EAW58631; NP_004520; EAW58630; AAH36089; CAE46213; BAH13491; XP_016870216; P42568; BAA04090; AAA58361; XP_016870215; ; EAW58632; ALQ33647; NP_001273620; QIH53926; BAH12621; BAG35760; ALQ33648
AL598623	-
BC020168	
AF318333	AAL55840
BC035075	; EAW65930; XP_016877074; XP_016877076; AAO17044; AHW56533; AHW56537; XP_005268048; XP_016877071; XP_016877075; NP_071406; BAC53754; CAB45154; AHW56535; XP_016877073; XP_016877077; NP_001381917; NP_775182; XP_011535371; XP_011535373; NP_001381918; BAC53756; AAG35180; AHW56538; XP_005268049; BAB21221; AHW56536; AHW56658; AHW56717; XP_016877072; AAO17043; XP_011535369; Q8IXF0; AHW56534; AHW56657; NP_001158221; NP_001159365
BC038630	-
BC035915	-
BC035773	-
BC035697	-
BM550294	-
AI868336	-
BC015609	-
BC026292	-
BC032741	
BC022056	XP_024304359; EAW67140; XP_011541182; NP_060059; ; AAH31045; XP_011541181; XP_024304358; NP_001354903; CBH19201; CBH30695; NP_001354904; NP_001354905; XP_024304355; XP_024304356; XP_011541180; XP_011541178; Q9NY30; CAB69821; XP_024304357; XP_024304360
BC024226	; XP_016855965; EAW91058; EAW91061; Q9H496; NP_001336863; NP_001336864; EAW91059; EAW91065; Q8NFQ8; CAC13974; AAI12226; NP_001336862; CAD52840; AAM50514; NP_001186189; EAW91060; AAH96704; AAH98348; EAW91062; NP_001336860; NP_001336865; NP_001336866; NP_659471; QGW58128; AAH98170; AAH98309; NP_071742; EAW91063; BAF82482; AAH32790; AAI01533
BC034576	AAH34576
BQ888257	-
BC022353	-
BC032407	
BC039712	BAG50868; AAI37081; XP_011532632; XP_016863084; NP_001336109; ; EAW64534; BAA31527; XP_011532629; XP_024309618; NP_005099; AAH30231; XP_011532627; XP_016863088; NP_001336107; NP_001336108; EAW64531; O75191; AAI37077; XP_011532631; XP_016863085; EAW64532; EAW64533; BAG56843; BAG37011; XP_011532630; XP_016863086
BC017752	AAC51330; ; EAW89956; AAH06394; NP_001294; AAP35631; AAA21148; EAW89957; BAG35592; Q12887; BAG57522; BAG58712; AAH00060
BC020872	; XP_011507652; XP_016856290; NP_001452; EAW50939; EAW50942; XP_005273004; NP_001138301; AAW69390; XP_005273003; XP_006711308; XP_016856291; EAW50940; P49326; AAH35687; CAA87633; XP_005273005; CAH72648; EAW50941; BAB13975; BAG37208; XP_006711307; NP_001138302; EAW50943; BAD96448; AAA67849; XP_011507653; CAH72649
BC038837	AAH10641; AHW56482; BAG37715; AAA52507; BAH11997; AAA52511; XP_011519730; EAW57653; P28472; NP_001178249; ANN02865; NP_000805; ; EAW57654; NP_068712; AAA52508; EAW57655; BAH13811; NP_001178250; NP_001265560
BC015057	Q8IYA8; NP_835467; BAG64158; XP_011531972; XP_011531975; EAW64966; XP_011531974; BAB71640; ; NP_001128669; EAW64965; AAH36202; XP_006713187; XP_011531973
BG030576	-
BC031866	
AL038725	-
BC023986	XP_006720084; XP_006720085; NP_001337820; ; BAB71480; XP_016876447; NP_001337819; EAW81636; EAW81639; EAW81637; EAW81640; Q96M32; XP_016876449; NP_001337817; NP_001337821; EAW81638; NP_689540
BC036937	-
BC014583	-
BC017579	-
BC017576	AAH17576
BC033991	
BC009800	
BC032628	; BAD92910; AAI06941; XP_016862517; AAG33246; XP_016862513; XP_016862515; XP_016862516; Q9H1K0; XP_005265442; EAW64220; EAW64221; BAG63200; CAE45963; XP_011532303; XP_016862512; XP_016862514; NP_001289307; BAC03860; NP_071735; BAF83977; XP_005265441
BC031962	-
AI554912	-
BC028376	-
BC032757	
BC011119	BAB47461; AAH63706; ; EAW66682; CAD19439; Q8WWL2; CAD39070; AAI11031; EAW66680; EAW66681; BAG52954; AAI39733; NP_115827
BC015455	-
BC028245	
BC024029	
BC034963	AAH34963
BC034600	AAH34600
BC012388	-
BC028693	-
BC035138	; AAL73437; NP_000494; CAA03923; NP_001357263; EAW86975; EAW86979; AAI21800; XP_016868692; XP_016868700; NP_001357262; NP_742056; EAW86980; XP_016868693; XP_016868697; XP_016868701; NP_001275503; CAA71309; EAW86973; XP_016868702; NP_742055; EAW86976; CAA03922; XP_011515785; XP_011515786; NP_001357265; CAH05073; EAW86977; EAW86978; Q99502; BAG54573; AAI21799; XP_016868694; CAH05072; EAW86974; BAG58690; XP_016868691; XP_016868696; NP_001275504; NP_001357264
BC042011	AAH42011
BC039113	
BC033371	
BC038755	
BC034625	
BC028623	-
BC036500	
BC028413	-
BC035402	-
BC028414	AAH28414
BC033908	
BC035112	
BC034605	
BC033553	
BC035391	-
BC036040	
BC030624	
BC036519	-
BC037833	
BC035158	
BC036238	-
BC034279	BAF84994; AAH34629; AEE61070; EAW57067; Q6UWN0; AAX08121; XP_011524785; XP_024307141; NP_775777; XP_005258600; XP_005278442; XP_005278444; XP_024307144; XP_024307147; ; EAW57066; XP_006723098; XP_024307143; AAQ89088; XP_005278440; XP_011524786; XP_024307140; NP_001278348; XP_005278445; XP_024307142; XP_024307145; XP_024307146
BC020943	AAH20943
BC042501	EAW89379; XP_011522575; ; AAH04231; Q96PX1; NP_001317430; EAW89378; EAW89381; BAC03669; XP_005257064; XP_016879609; EAW89382; BAB71053; XP_016879606; NP_443148; EAW89380; BAB67810
BC031937	-
BC031261	AAH31261
BC039328	
BC026117	
BC031092	A0A1B0GVH7; NP_001365111; NP_001365116; XP_016864391; ; XP_016864389; XP_016864390; XP_016864393; NP_001365108; NP_001365110; NP_001365114; NP_001365107; NP_001365113; XP_016864392; XP_024310079; NP_001350436; NP_001350438; XP_011530758; XP_024310080; NP_001365106; NP_001365109; NP_001365115
BC031239	
BC026112	AAH26112
BC033535	
BC031271	
BC033333	
BC041884	Q14699; AAH98270; AAI21796; EAW64273; AAH06400; AAI00668; ; XP_011531832; NP_055965; BAG62640; XP_016861494; XP_016861495; EAW64274; BAG64789; AAH69209; XP_005265043; XP_011531833; AAO91814; AAH32349; AAH51336; XP_005265042; XP_006713132; EAW64275; AAH14032; AAI00670; BAA07644; XP_011531831; XP_016861496
BC039019	-
BC031255	
BC036237	
BC039023	EAW75883; EAW75882; XP_005260589; XP_016883518; BAG37665; AAH29511; XP_011527320; XP_016883520; ; AAH05231; AAA83254; XP_005260588; XP_016883521; NP_006273; CAI45939; XP_005260587; NP_001339314; Q13043; AAH15332; XP_011527322; BAD92552; AAH58916; AAH93768; AAB17262; CAA80917; XP_016883519; XP_016883522
BC039107	AAH39107
BC016954	
BC026111	-
BC035157	AAH35157
BC026124	
BC039326	
BC031950	-
BC031234	
BC036438	-
BC037923	-
BC038785	-
BC031238	
BC031956	-
BC036416	AAI06880; XP_011531375; AAF66162; CAA11560; ; AAI06879; NP_003153; EAX00414; O43815; AAY24273; XP_005264576
BC034316	
BC034311	
BC034626	-
BC034815	
BC035163	
BC036411	-
BC026116	-
BE048026	-
BC021745	
BC031525	AAS46954; P08575; AAA59497; AAS46962; EAW91302; EAW91303; AAS75254; AAI21087; NP_001254727; AAS46922; EAW91301; AAI48258; NP_002829; AAS46930; EAW91300; CAA68669; NP_563578; ; AAG26082; BAF84820; AAH14239; AAH17863; AAI27657; XP_006711537; AAM12758; CBU83087; AAI21088; AAI27658; XP_006711535; XP_006711536; AAD15274; AAD15275; BAG61807; AAS46938; AAS46946; CBU30438; BAG64565; CAA68269
BC032031	-
BC032908	; EAW66585
BC038778	
BC029533	-
BC034798	; EAW72032
BC033344	
BC031236	AAH31236
BC015456	
BC029593	-
BC012504	EAL24126; BAG59855; AAH22540; NP_001129028; EAW76753; AAH32945; AAH37854; AAC33443; AAS07455; BAG35966; EAW76752; O14576; BAC03639; NP_001265350; AAS01994; NP_001129029; NP_001265351; NP_004402; AAB70113; EAW76751; EAW76755; AAD26852; AAB67047; EAW76754; ; AAH53542
BC034639	-
BC015433	EAW77521; BAB21840; AAH30995; AAH62770; AAH93827; XP_011520423; XP_016878174; XP_005254784; BAB55415; AAP42073; NP_001239264; NP_116255; BAB71249; AAI12050; AAI18919; XP_005254783; XP_011520422; ; AAT37906; XP_016878175; Q0VF96
BC031960	
BC031321	EAX06321; EAX06324; EAX06333; BAA34506; XP_005270723; XP_024310123; NP_001317574; NP_001352932; NP_001352938; NP_001380279; CAB60207; CAB60229; EAX06322; EAX06335; XP_006710551; XP_016856286; XP_024310127; NP_001352931; NP_001352935; NP_001352936; NP_001380281; NP_001380282; CAB60203; EAX06339; EAX06341; XP_016856275; XP_016856278; NP_001284634; NP_001284635; CAB60201; CAB60205; EAX06326; EAX06331; EAX06338; EAX06340; CAA10458; XP_006710552; NP_036434; ; CAB60202; EAX06325; EAX06334; EAX06336; AAD54676; BAG53903; NP_001380278; CAB60204; EAX06323; EAX06330; EAX06337; AAD54677; XP_005270725; XP_016856273; XP_024310118; XP_024310125; NP_001337627; NP_001380283; EAX06329; O95490; NP_001284633; NP_001352933; NP_001352934; NP_001352937; NP_001380280; CAB60206; EAX06327; EAX06328; EAX06332; AAD54675; ABL59902; XP_006710548; XP_024310126; NP_001337628
BC031976	EAL24374; AAI26150; ; EAW83464; XP_011514376; XP_011514377; EAW83465; XP_016867517; NP_872403; Q8N8F7; NP_001127940; BAC04886; AAI30569; XP_011514378
BC036644	-
BC029474	-
BC029569	
BC024905	NP_003282; ; EAX09059; P29144; XP_005254127; NP_001354876; BAH14156; AAH39905; AAA36760; AAA63263; NP_001317517
BG720148	-
BC029610	
BC032830	EAW93421; BAG64364; AAH29600; XP_011508259; ; XP_024305227; NP_004610; O00463; BAG54338; CAG38794; BAA25262; XP_016857710; NP_001306136; NP_665702; NP_001029082; EAW93419; EAW93420; EAW93422; XP_011508261; BAG58591; AAC51329; XP_011508262
BC028594	AAH28594
BC041011	BAB84906; ; A4GXA9; EAW85626; XP_016878515; NP_001244299; XP_016878514; ABO21766; AAK61292
BC036550	AAH28099; BAG54164; 
BC042900	EAW50165; EAW50166; XP_011537617; Q5W064; XP_006717698; XP_016871229; XP_011537619; NP_001010939; ; NP_001381569; XP_005269599; XP_011537616; XP_011537620; XP_011537621; AAH31219
BC037876	AAH37876
BC039000	; Q5T2Q4
BC029999	EAW77755; BAB47410; AAI17420; XP_016878161; XP_016878164; NP_001374080; EAW77756; BAF64841; XP_016878163; NP_001374079; NP_115821; XP_016878159; A6BM72; NP_001371957; NP_001371958; EAW77754; NP_001371959; NP_001371960; EAW77757; AAQ88593; XP_016878162; NP_001371961; XP_016878160; NP_001371962; ; CAD38994; AAI26314
BC036095	BAG58652; NP_001164655; ; EAX02846; EAX02844; EAX02845; BAD92542; BAF82514; XP_016884822; NP_001930; AAI11696; AAC50538; XP_016884823; CAO03505; Q13474
BC036463	
BC036229	-
BC040605	AAH11001; XP_011540869; BAC11155; XP_011540876; XP_011540868; XP_011540870; NP_001073876; CAF85896; Q8NCI6; XP_011540874; XP_011540875; XP_016872644; XP_024304106; ; XP_011540872; XP_011540871; XP_011540873; XP_016872645
BC028745	
BC035703	-
BC031267	-
BC037797	EAW65888; EAW65890; NP_060387; EAW65887; AAO17045; XP_024305406; NP_001292084; NP_001292085; ; AAH06823; XP_005267839; EAW65889; Q969Q6; BAA91308; AAT44533; AAH10293; CAD62352; EAW65886; AAH12563; AAH63438; BAG57148; AAO17046; AAT44532; XP_016876877; XP_024305407
BC016994	
BC033053	EAX04523; 
BC033059	AAH33059
BC015161	-
BC018336	AAH18336
BC015538	EAW76156; AAF34184; AAK19748; EAW76153; AAI50179; XP_005260478; XP_016883357; EAW76154; EAW76158; AAG49888; BAG53476; BAG37103; XP_016883358; XP_016883360; ; EAW76157; AAH48210; XP_024307657; XP_024307658; NP_057520; XP_016883359; Q9BVI0; AAN08621; AAH93405; XP_011527145; EAW76155; AAK13046; AAH80598; XP_011527146
BC039148	AAH39148
BC032141	-
BC009730	AAH14119; 
BC033260	
